CD_SETOR;V00644;V00645;V00646;V00647;V00648;V00649;V00650;V00651;V00652;V00653;V00654;V00655;V00656;V00657;V00658;V00659;V00660;V00661;V00662;V00663;V00664;V00665;V00666;V00667;V00668;V00669;V00670;V00671;V00672;V00673;V00674;V00675;V00676;V00677;V00678;V00679;V00680;V00681;V00682;V00683;V00684;V00685;V00686;V00687;V00688;V00689;V00690;V00691;V00692;V00693;V00694;V00695;V00696;V00697;V00698;V00699;V00700;V00701;V00702;V00703;V00704;V00705;V00706;V00707;V00708;V00709;V00710;V00711;V00712;V00713;V00714;V00715;V00716;V00717;V00718;V00719;V00720;V00721;V00722;V00723;V00724;V00725;V00726;V00727;V00728;V00729;V00730;V00731;V00732;V00733;V00734;V00735;V00736;V00737;V00738;V00739;V00740;V00741;V00742;V00743;V00744;V00745;V00746;V00747;V00748;V00749;V00750;V00751;V00752;V00753;V00754;V00755;V00756;V00757;V00758;V00759;V00760;V00761;V00762;V00763;V00764;V00765;V00766;V00767;V00768;V00769;V00770;V00771;V00772;V00773;V00774;V00775;V00776;V00777;V00778;V00779;V00780;V00781;V00782;V00783;V00784;V00785;V00786;V00787;V00788;V00789;V00790;V00791;V00792;V00793;V00794;V00795;V00796;V00797;V00798;V00799;V00800;V00801;V00802;V00803;V00804;V00805;V00806;V00807;V00808;V00809;V00810;V00811;V00812;V00813;V00814;V00815;V00816;V00817;V00818;V00819;V00820;V00821;V00822;V00823;V00824;V00825;V00826;V00827;V00828;V00829;V00830;V00831;V00832;V00833;V00834;V00835;V00836;V00837;V00838;V00839;V00840;V00841;V00842;V00843;V00844;V00845;V00846;V00847;V00848;V00849;V00850;V00851;V00852;V00853;V00854;V00855;V00856;V00857;V00858;V00859;V00860;V00861;V00862;V00863;V00864;V00865;V00866;V00867;V00868;V00869;V00870;V00871;V00872;V00873;V00874;V00875;V00876;V00877;V00878;V00879;V00880;V00881;V00882;V00883;V00884;V00885;V00886;V00887;V00888;V00889;V00890;V00891;V00892;V00893;V00894;V00895;V00896;V00897;V00898;V00899;V00900;V00901;V00902;V00903;V00904;V00905;V00906;V00907;V00908;V00909;V00910;V00911;V00912;V00913;V00914;V00915;V00916;V00917;V00918;V00919;V00920;V00921;V00922;V00923;V00924;V00925;V00926;V00927;V00928;V00929;V00930;V00931;V00932;V00933;V00934;V00935;V00936;V00937;V00938;V00939;V00940;V00941;V00942;V00943;V00944;V00945;V00946;V00947;V00948;V00949;V00950;V00951;V00952;V00953;V00954;V00955;V00956;V00957;V00958;V00959;V00960;V00961;V00962;V00963;V00964;V00965;V00966;V00967;V00968;V00969;V00970;V00971;V00972;V00973;V00974;V00975;V00976;V00977;V00978;V00979;V00980;V00981;V00982;V00983;V00984;V00985;V00986;V00987;V00988;V00989;V00990;V00991;V00992;V00993;V00994;V00995;V00996;V00997;V00998;V00999;V01000;V01001;V01002;V01003;V01004;V01005;CD_MUN
230280005000012;75;104;115;107;69;77;43;47;44;44;25;43;21;23;4;0;48;0;22;6;0;76;0;24;9;0;82;0;21;10;0;76;0;14;10;0;45;0;19;8;0;50;0;12;X;0;29;0;13;10;0;24;0;5;8;0;31;0;7;5;0;32;0;X;0;0;23;0;13;4;0;26;0;5;X;0;14;0;39;51;52;56;36;37;20;21;19;19;9;23;7;36;53;63;51;33;40;23;26;25;25;16;20;14;73;104;114;103;64;61;30;33;28;18;13;15;7;23;4;0;46;0;22;6;0;76;0;24;9;0;81;0;19;9;0;75;0;12;9;0;43;0;15;4;0;42;0;9;X;0;20;0;7;5;0;21;0;4;3;0;21;0;4;X;0;12;0;X;0;0;11;0;6;3;0;6;0;4;0;0;3;0;37;51;52;54;33;26;12;13;12;8;5;4;0;36;53;62;49;31;35;18;20;16;10;8;11;7;291;3;319;68;53;80;140;X;150;39;17;41;151;X;169;29;36;39;69;0;19;0;0;0;203;3;0;0;66;18;31;17;0;0;222;33;0;0;16;11;5;6;0;0;32;63;0;0;663;151;151;29;55;23;0;0;457;99;0;0;307;82;356;69;63;15;33;14;0;0;211;53;0;0;88;14;22;9;0;0;246;46;0;0;4;0;32;0;43;0;43;0;37;3;34;7;20;8;23;5;12;12;10;13;9;8;11;17;5;8;63;9;21;13;0;0;199;59;0;0;24;0;61;16;9;19;55;0;108;19;26;27;283;81;94;35;189;46;94;189;88;73;93;73;X;6;10;4;8;X;10;9;X;0;2302800
230280005000013;10;7;10;16;8;9;12;8;9;5;5;X;6;X;0;0;8;0;3;0;0;4;0;3;0;0;7;0;X;0;0;14;0;X;0;0;6;0;X;0;0;7;0;6;0;0;6;0;3;0;0;5;0;3;0;0;6;0;X;0;0;4;0;X;0;0;4;0;X;0;0;X;0;X;0;0;4;0;8;4;6;9;5;3;6;5;5;3;X;0;X;X;3;4;7;3;6;6;3;4;X;3;X;4;9;7;9;12;8;8;11;4;3;3;4;0;X;X;0;0;7;0;3;0;0;4;0;X;0;0;7;0;X;0;0;10;0;X;0;0;6;0;X;0;0;6;0;6;0;0;5;0;X;0;0;X;0;0;0;0;3;0;X;0;0;X;0;X;0;0;3;0;0;0;0;0;0;0;0;0;X;0;7;4;5;5;5;3;6;3;X;X;X;0;X;X;3;4;7;3;5;5;X;X;X;3;0;X;25;X;46;16;9;9;16;X;23;10;3;4;9;0;23;6;6;5;7;X;0;0;0;0;18;X;0;0;14;4;0;0;0;0;32;12;0;0;X;3;0;0;0;0;7;6;0;0;80;27;23;8;0;0;0;0;57;19;0;0;42;16;38;11;13;3;0;0;0;0;29;13;0;0;10;5;0;0;0;0;28;6;0;0;0;0;X;0;X;X;4;3;5;0;4;0;6;0;4;X;X;5;3;X;X;X;0;X;0;X;8;6;0;0;0;0;24;11;0;0;X;X;14;8;X;3;X;0;10;X;4;3;32;17;16;12;16;5;16;16;7;15;13;4;X;3;X;0;0;0;3;0;0;0;2302800
230280005000014;55;57;64;54;77;58;55;49;25;21;17;42;21;11;0;0;44;0;11;0;0;46;0;8;X;0;55;0;12;X;0;41;0;12;X;0;64;0;5;3;0;50;0;10;0;0;45;0;6;X;0;42;0;6;0;0;19;0;5;0;0;16;0;6;0;0;11;0;8;0;0;34;0;3;0;0;18;0;29;28;36;18;41;31;28;24;9;8;6;15;9;26;29;28;36;36;27;27;25;16;13;11;27;12;53;57;64;53;75;50;48;40;19;15;12;25;5;11;0;0;42;0;11;0;0;46;0;8;X;0;55;0;11;X;0;41;0;11;X;0;63;0;5;X;0;43;0;8;0;0;40;0;5;0;0;35;0;5;0;0;14;0;3;0;0;12;0;5;0;0;7;0;6;0;0;19;0;X;0;0;3;0;27;28;36;17;40;26;25;17;6;4;4;9;X;26;29;28;36;35;24;23;23;13;11;8;16;3;174;X;285;33;57;44;91;X;131;20;19;19;83;0;154;13;38;25;30;0;X;0;0;0;143;X;0;0;45;6;4;X;0;0;236;25;0;0;16;6;0;0;0;0;41;38;0;0;516;79;91;12;5;X;0;0;420;65;0;0;241;41;275;38;32;4;3;X;0;0;206;35;0;0;59;8;X;0;0;0;214;30;0;0;X;0;13;0;15;0;23;0;39;X;29;X;20;5;21;3;15;X;10;X;6;3;17;8;X;7;41;3;3;0;0;0;167;30;0;0;12;0;46;4;9;10;17;0;101;9;26;10;211;33;67;14;144;19;67;144;78;49;74;61;3;8;9;3;6;5;4;4;0;X;2302800
230280005000015;64;80;56;44;44;46;56;50;46;27;30;26;24;23;6;X;34;0;18;X;0;60;0;19;X;0;36;0;10;3;0;31;0;12;X;0;30;0;9;3;0;34;0;18;5;0;33;0;9;4;0;37;0;11;X;0;34;0;4;0;0;23;0;6;X;0;22;0;4;X;0;20;0;9;0;0;15;0;32;41;29;27;21;16;27;25;24;12;15;15;11;32;39;27;17;23;30;29;25;22;15;15;11;13;61;76;55;40;41;36;50;36;33;19;17;11;14;23;6;X;31;0;17;X;0;58;0;19;X;0;35;0;9;3;0;28;0;12;X;0;27;0;9;X;0;26;0;15;4;0;31;0;7;3;0;26;0;8;0;0;25;0;3;0;0;16;0;4;0;0;13;0;X;X;0;8;0;7;0;0;7;0;30;39;28;23;21;11;24;17;15;10;9;7;4;31;37;27;17;20;25;26;19;18;9;8;4;10;192;8;236;50;61;46;97;5;111;29;30;23;95;3;125;21;31;23;59;X;8;X;X;0;124;6;0;0;60;9;13;5;0;0;163;36;0;0;16;7;X;3;0;0;44;36;0;0;489;104;135;17;22;9;X;0;331;78;0;0;238;57;251;47;64;11;15;7;0;0;159;39;0;0;71;6;7;X;X;0;172;39;0;0;3;0;17;0;13;0;16;0;22;X;21;5;29;3;24;9;19;7;13;6;10;7;9;10;7;6;42;10;8;6;0;0;153;39;0;0;11;0;47;11;14;14;22;0;84;15;25;15;203;55;72;25;131;30;72;131;66;42;73;53;X;4;9;9;5;3;11;9;0;0;2302800
230280005000017;53;51;49;44;51;32;42;23;26;10;14;22;13;13;5;0;35;0;12;5;0;34;0;9;5;0;35;0;10;X;0;33;0;9;3;0;39;0;5;X;0;25;0;9;3;0;30;0;5;4;0;14;0;6;3;0;17;0;4;0;0;6;0;X;X;0;11;0;8;5;0;9;0;X;X;0;9;0;26;23;19;16;29;10;22;12;10;5;8;11;6;27;28;30;28;22;22;20;11;16;5;6;11;7;53;49;49;44;45;28;31;16;16;3;X;7;3;13;5;0;35;0;10;5;0;34;0;9;5;0;35;0;10;X;0;33;0;8;3;0;34;0;5;X;0;22;0;9;3;0;19;0;4;3;0;9;0;4;X;0;11;0;X;0;0;X;0;0;0;0;X;0;3;X;0;3;0;X;0;0;X;0;26;22;19;16;26;10;14;8;3;X;0;X;X;27;27;30;28;19;18;17;8;13;X;X;6;X;151;X;180;38;15;44;67;X;77;22;4;26;84;X;103;16;11;18;32;X;15;0;0;0;104;0;0;0;40;4;12;4;0;0;128;30;0;0;7;9;X;7;0;0;7;28;0;0;346;84;79;15;28;11;0;0;239;58;0;0;148;49;198;35;30;5;13;6;0;0;105;38;0;0;49;10;15;5;0;0;134;20;0;0;X;0;7;0;25;0;18;0;21;X;15;3;15;6;8;6;13;4;X;4;X;7;3;12;3;7;29;10;10;9;0;0;94;32;0;0;14;0;26;10;3;18;20;0;64;11;6;12;133;51;43;28;90;23;43;90;41;37;53;53;0;3;X;5;X;X;5;8;0;0;2302800
230280005000018;42;60;49;28;25;43;43;44;30;21;13;30;32;5;3;0;34;0;12;X;0;46;0;6;4;0;39;0;8;3;0;17;0;4;X;X;18;0;9;X;0;32;0;7;6;0;30;0;11;4;0;29;0;6;3;0;21;0;4;X;0;15;0;X;3;0;8;0;9;5;0;16;0;8;3;0;21;0;23;25;24;18;9;20;20;27;16;9;X;12;12;19;35;25;10;16;23;23;17;14;12;11;18;20;42;59;48;27;20;33;36;26;22;14;7;15;12;5;3;0;34;0;12;X;0;45;0;6;4;0;38;0;8;3;0;16;0;3;X;X;14;0;7;X;0;25;0;5;6;0;25;0;6;X;0;19;0;4;X;0;17;0;4;X;0;8;0;X;X;0;4;0;4;X;0;9;0;4;X;0;7;0;23;24;24;17;6;16;15;15;12;4;X;8;X;19;35;24;10;14;17;21;11;10;10;5;7;10;149;X;164;49;48;48;71;X;81;29;16;19;78;X;83;20;32;29;23;0;9;0;0;0;117;X;0;0;33;12;14;6;X;0;116;31;0;0;13;10;7;6;0;0;28;32;0;0;361;99;69;22;30;12;X;0;261;65;0;0;168;49;193;50;25;9;16;8;0;0;127;32;0;0;44;13;14;4;X;0;134;33;0;0;5;0;14;0;18;X;14;0;7;X;13;4;16;3;18;10;10;4;8;6;X;X;5;9;7;12;22;9;12;5;X;0;102;38;0;0;12;0;30;10;5;9;25;X;48;12;17;20;137;52;47;19;90;33;47;90;44;31;42;33;7;14;X;7;20;9;6;7;0;0;2302800
230280005000019;47;40;31;25;38;43;29;40;29;20;16;34;26;17;X;0;29;0;11;X;0;28;0;8;0;0;23;0;9;0;0;16;0;10;X;0;27;0;12;0;0;30;X;5;X;0;23;0;16;0;0;24;0;12;X;0;16;0;6;X;0;12;0;7;0;0;9;0;8;3;0;23;0;11;0;0;15;0;22;25;14;9;18;18;15;17;13;9;6;11;10;25;15;17;16;20;25;14;23;16;11;10;23;16;46;40;29;24;37;39;25;30;25;18;14;28;13;16;X;0;29;0;11;X;0;28;0;8;0;0;21;0;9;0;0;15;0;10;X;0;26;0;12;0;0;27;0;5;X;0;19;0;13;0;0;17;0;10;X;0;14;0;6;X;0;10;0;7;0;0;7;0;7;3;0;18;0;5;0;0;8;0;22;25;13;8;17;16;11;11;10;8;5;8;6;24;15;16;16;20;23;14;19;15;10;9;20;7;115;3;180;24;73;23;60;X;73;17;27;9;55;X;107;7;46;14;35;X;X;0;0;0;78;X;0;0;59;5;3;0;0;0;118;18;0;X;25;7;5;0;0;0;43;16;0;0;368;50;119;13;10;0;0;0;239;36;0;X;160;27;208;23;53;6;5;0;0;0;102;20;0;X;66;7;5;0;0;0;137;16;0;0;3;0;6;0;9;X;5;0;13;0;20;3;13;4;18;6;17;X;11;X;9;X;20;3;8;7;44;7;5;0;0;0;103;23;0;X;10;X;37;10;14;7;8;X;49;5;34;7;152;31;61;18;91;13;61;91;28;47;49;47;3;4;8;8;X;4;8;6;X;X;2302800
230280005000020;29;35;42;24;42;29;23;14;18;12;12;16;12;12;X;0;15;0;10;X;0;24;0;15;X;0;26;0;7;3;0;14;0;13;X;0;27;0;10;0;0;19;0;9;X;0;12;0;4;0;0;10;0;6;X;0;11;0;4;X;0;6;0;4;4;0;4;0;5;X;0;9;0;4;X;0;7;0;13;15;22;9;17;15;10;4;6;4;3;7;3;16;20;20;15;25;14;13;10;12;8;9;9;9;29;35;42;24;40;26;22;11;12;6;6;10;4;12;X;0;15;0;10;X;0;24;0;15;X;0;26;0;7;3;0;14;0;12;X;0;26;0;9;0;0;17;0;9;X;0;12;0;3;0;0;8;0;4;X;0;7;0;3;0;0;3;0;X;X;0;4;0;5;X;0;3;0;X;0;0;3;0;13;15;22;9;15;13;9;4;3;X;3;4;X;16;20;20;15;25;13;13;7;9;4;3;6;3;106;0;135;15;26;26;50;0;53;8;10;7;56;0;82;7;16;19;37;0;4;0;0;0;65;0;0;0;44;5;7;X;0;0;84;9;0;0;10;7;3;6;0;0;13;13;0;0;267;41;91;12;14;7;0;0;162;22;0;0;113;15;154;26;38;3;6;X;0;0;69;10;0;0;53;9;8;5;0;0;93;12;0;0;4;0;11;0;17;0;11;0;21;0;13;X;9;X;4;X;9;X;4;3;5;3;6;4;X;4;33;6;9;4;0;0;73;10;0;0;12;0;25;X;7;3;20;0;42;4;9;11;115;20;44;5;71;15;44;71;29;34;26;26;5;12;X;4;6;4;X;3;0;0;2302800
230280005000021;63;60;69;68;67;60;46;42;34;32;33;40;41;15;X;0;46;0;10;3;0;47;0;17;0;0;52;0;11;4;0;53;0;21;4;0;42;0;17;X;0;42;0;9;0;0;37;0;5;X;0;35;0;8;0;0;26;0;7;X;0;23;0;6;0;0;27;0;7;5;0;28;0;15;X;0;25;0;28;30;32;30;31;33;18;19;12;13;17;17;17;35;30;37;38;36;27;28;23;22;19;16;23;24;63;60;68;65;63;53;42;35;26;21;24;22;19;15;X;0;46;0;10;3;0;47;0;16;0;0;52;0;11;4;0;50;0;18;4;0;41;0;16;X;0;36;0;9;0;0;33;0;5;X;0;29;0;7;0;0;19;0;6;X;0;13;0;4;0;0;20;0;3;X;0;17;0;6;0;0;13;0;28;30;31;29;29;31;16;14;10;8;13;10;9;35;30;37;36;34;22;26;21;16;13;11;12;10;191;X;284;33;86;60;89;X;129;14;40;24;102;0;155;19;46;36;41;X;5;0;0;0;145;0;0;0;66;5;10;X;0;0;208;27;0;0;19;16;4;4;0;0;63;40;0;0;561;94;126;22;19;5;0;0;416;67;0;0;258;39;303;55;49;8;8;3;0;0;201;28;0;0;77;14;11;X;0;0;215;39;0;0;7;0;20;0;23;0;23;X;27;X;29;3;25;3;17;3;10;6;9;4;17;7;12;13;8;12;49;10;6;5;0;0;172;38;0;0;19;0;48;5;18;15;31;0;83;12;28;21;227;53;85;20;142;33;85;142;72;53;55;62;12;22;9;7;9;9;12;7;4;0;2302800
230280005000022;50;48;64;58;52;48;33;40;41;31;24;30;14;9;X;0;39;0;14;X;0;33;0;8;5;0;51;0;10;X;0;47;0;12;X;0;39;0;9;X;0;38;0;7;4;0;22;0;9;X;0;29;0;6;X;0;33;0;5;X;0;24;0;8;0;0;16;0;5;X;0;24;0;3;3;0;8;0;24;22;30;28;18;29;12;20;16;11;9;16;5;26;26;34;30;34;19;21;20;25;20;15;14;9;50;46;62;55;52;43;27;32;28;22;14;13;7;9;X;0;39;0;13;X;0;32;0;8;5;0;49;0;10;X;0;44;0;12;X;0;39;0;9;X;0;33;0;6;X;0;19;0;6;X;0;25;0;3;X;0;23;0;3;X;0;17;0;5;0;0;9;0;X;X;0;10;0;X;0;0;5;0;24;21;29;26;18;25;7;15;9;6;6;7;X;26;25;33;29;34;18;20;17;19;16;8;6;5;158;4;237;35;56;43;74;X;100;23;21;20;84;X;137;12;35;23;30;X;8;0;0;0;120;3;0;0;46;7;8;3;0;0;183;25;0;0;12;9;3;3;0;0;41;31;0;0;451;82;88;17;19;6;0;0;344;59;0;0;195;45;256;37;36;9;9;4;0;0;150;32;0;0;52;8;10;X;0;0;194;27;0;0;X;0;8;X;19;X;21;X;26;0;25;4;14;4;14;5;19;9;16;4;8;8;9;9;4;5;36;11;9;4;0;0;139;36;0;0;9;X;42;17;13;12;19;X;77;6;24;14;184;51;64;30;120;21;64;120;56;54;63;62;0;6;X;4;X;X;6;6;0;X;2302800
230280005000025;47;50;72;63;55;64;49;57;41;25;20;31;14;10;0;X;36;0;14;4;0;32;0;20;5;0;47;0;18;3;0;42;0;13;3;0;39;0;22;3;0;39;0;14;5;0;30;0;18;7;0;32;0;11;X;0;28;0;8;0;0;17;0;8;X;0;11;0;9;6;0;16;0;4;0;0;10;0;24;26;36;27;26;28;24;23;24;11;8;13;5;23;24;36;36;29;36;25;34;17;14;12;18;9;47;49;71;61;54;58;49;50;37;23;15;21;6;10;0;X;36;0;13;4;0;32;0;20;4;0;47;0;18;X;0;41;0;13;3;0;38;0;20;3;0;35;0;14;5;0;30;0;17;4;0;29;0;10;X;0;25;0;8;0;0;15;0;6;X;0;8;0;8;4;0;9;0;3;0;0;3;0;24;25;35;25;25;25;24;20;21;10;7;8;X;23;24;36;36;29;33;25;30;16;13;8;13;5;167;X;309;20;65;25;84;X;140;12;26;11;83;0;169;8;39;14;43;X;8;X;X;0;115;0;0;0;92;4;19;4;0;0;198;12;0;0;25;4;5;X;0;0;35;19;0;0;541;47;160;9;32;7;X;0;348;31;0;0;250;25;291;22;72;3;17;5;0;0;161;17;0;0;88;6;15;X;X;0;187;14;0;0;X;0;7;0;31;0;27;X;25;0;29;X;33;0;30;4;25;X;12;X;11;4;13;4;X;3;68;5;19;5;0;0;159;11;0;0;23;0;87;4;18;6;16;0;82;4;20;7;246;21;128;10;118;11;128;118;41;102;59;51;5;3;3;X;3;6;7;6;3;3;2302800
230280005000026;60;57;58;59;48;49;57;48;47;39;26;29;32;21;0;0;39;0;19;3;0;35;0;15;X;0;41;0;19;X;0;38;0;11;X;0;35;0;12;3;0;34;0;15;X;0;41;0;16;3;0;29;0;14;3;0;30;0;8;3;0;28;0;9;X;0;15;0;X;4;0;24;0;10;0;0;22;0;32;34;21;29;19;19;25;20;15;18;12;10;12;28;23;37;30;29;30;32;28;32;21;14;19;20;60;56;56;56;47;48;54;42;40;31;21;15;17;21;0;0;39;0;18;3;0;35;0;15;X;0;39;0;18;X;0;36;0;11;X;0;34;0;12;X;0;34;0;14;X;0;39;0;13;3;0;26;0;13;3;0;24;0;7;X;0;23;0;7;X;0;13;0;0;3;0;12;0;5;0;0;12;0;32;34;19;26;18;19;24;16;12;14;9;6;7;28;22;37;30;29;29;30;26;28;17;12;9;10;172;3;287;21;84;42;85;X;115;12;36;16;87;X;172;9;48;26;54;X;5;0;0;0;113;X;0;0;81;6;13;X;0;0;193;14;0;0;19;9;5;4;0;0;60;29;0;0;543;66;154;16;23;5;0;0;366;45;0;0;236;30;307;36;68;9;11;X;0;0;157;19;0;0;86;7;12;3;0;0;209;26;0;0;3;0;10;X;14;0;27;X;24;X;23;X;36;X;20;3;30;4;17;5;13;X;12;9;7;7;58;9;14;3;0;0;164;23;0;0;12;0;72;6;21;9;15;X;88;5;28;14;236;35;105;15;131;20;104;131;36;81;64;60;3;8;13;4;5;9;5;8;X;0;2302800
230280005000027;36;53;54;50;44;49;32;47;37;27;27;42;10;5;X;0;30;0;7;X;0;45;0;4;X;0;48;0;7;4;0;39;0;7;X;0;35;0;5;X;0;43;0;8;0;0;24;0;6;5;0;36;0;X;0;0;35;0;4;0;0;23;0;4;0;0;23;0;9;0;0;33;0;3;0;0;7;0;21;31;27;27;23;21;17;23;19;9;16;22;8;15;22;27;23;21;28;15;24;18;18;11;20;X;36;49;51;48;42;45;26;38;28;17;15;27;5;5;X;0;30;0;6;0;0;43;0;4;X;0;45;0;7;4;0;37;0;6;X;0;34;0;5;0;0;40;0;7;0;0;19;0;3;4;0;31;0;X;0;0;26;0;3;0;0;14;0;4;0;0;11;0;7;0;0;20;0;X;0;0;4;0;21;27;25;26;21;19;13;15;14;5;8;12;3;15;22;26;22;21;26;13;23;14;12;7;15;X;136;7;227;32;64;42;73;6;108;22;28;27;63;X;119;10;36;15;15;X;3;X;0;0;118;5;0;0;30;5;10;X;0;0;187;25;0;0;15;5;0;0;0;0;49;37;0;0;427;81;60;11;13;3;0;0;354;67;0;0;209;55;218;26;29;9;4;X;0;0;176;44;0;0;31;X;9;X;0;0;178;23;0;0;X;0;8;0;18;X;27;0;18;0;19;X;13;4;24;5;14;5;13;5;8;7;19;6;3;X;25;3;7;X;0;0;154;30;0;0;7;0;37;8;17;9;21;X;78;7;26;10;186;35;61;17;125;18;61;125;71;36;61;40;0;X;X;X;5;5;8;6;0;0;2302800
230280005000028;13;6;11;18;13;16;11;16;14;15;8;14;17;7;0;0;6;0;X;X;0;X;0;X;X;0;9;0;8;0;0;10;0;5;0;0;8;0;9;0;0;7;0;3;0;0;8;0;4;0;0;12;0;4;0;0;10;0;7;X;0;7;0;3;0;0;5;0;5;0;0;9;0;6;0;0;11;0;5;X;5;11;8;9;6;7;7;3;X;6;7;8;4;6;7;5;7;5;9;7;12;6;8;10;13;6;11;15;12;16;10;15;14;13;8;13;13;7;0;0;6;0;X;X;0;X;0;X;X;0;9;0;5;0;0;10;0;4;0;0;8;0;9;0;0;7;0;3;0;0;7;0;4;0;0;11;0;4;0;0;10;0;6;X;0;6;0;3;0;0;5;0;5;0;0;8;0;5;0;0;8;0;5;X;5;9;7;9;5;7;7;3;X;5;4;8;4;6;6;5;7;5;8;7;10;6;8;9;30;0;82;6;47;7;12;0;44;4;14;4;18;0;38;X;33;3;10;0;3;0;0;0;17;0;0;0;29;4;0;0;0;0;53;X;0;0;19;X;X;0;0;0;27;5;0;0;159;13;58;6;4;0;0;0;97;7;0;0;70;8;89;5;24;4;X;0;0;0;44;4;0;0;34;X;X;0;0;0;53;3;0;0;X;0;3;0;6;0;9;0;4;0;6;0;6;0;11;0;10;0;7;X;6;0;9;0;7;X;28;X;X;0;0;0;55;X;0;0;3;0;26;0;10;X;7;0;20;0;19;X;85;3;39;X;46;X;39;46;12;21;11;8;X;6;0;0;X;3;4;4;0;X;2302800
230280005000029;48;54;62;57;45;47;38;45;30;17;27;28;13;16;3;0;29;0;17;X;0;35;0;12;X;X;47;0;12;3;0;42;0;7;X;0;36;0;12;X;0;33;0;6;X;0;30;0;12;6;0;27;0;10;X;0;18;0;6;X;0;9;0;9;0;0;18;0;7;X;0;19;0;4;3;0;6;0;26;22;26;29;20;17;18;21;9;6;12;14;4;22;32;36;28;25;30;20;24;21;11;15;14;9;47;53;61;55;45;45;34;45;28;12;14;19;7;15;3;0;29;0;17;X;0;34;0;12;X;X;46;0;11;3;0;41;0;7;X;0;36;0;11;X;0;32;0;6;X;0;26;0;12;6;0;27;0;9;X;0;17;0;4;X;0;6;0;4;0;0;10;0;5;X;0;13;0;X;X;0;3;0;25;22;25;27;20;16;16;21;8;4;6;9;X;22;31;36;28;25;29;18;24;20;8;8;10;6;161;3;252;10;52;33;72;X;108;6;20;16;89;X;144;4;32;17;44;X;7;0;X;0;109;X;0;0;56;3;17;0;0;0;179;7;0;0;15;11;5;X;0;0;32;20;0;0;465;46;115;15;29;X;X;0;320;29;0;0;200;24;265;22;47;9;9;0;X;0;143;15;0;0;68;6;20;X;0;0;177;14;0;0;X;0;11;0;20;0;21;0;25;0;24;X;18;3;23;0;20;X;7;4;9;7;14;6;4;X;41;8;15;X;X;0;141;13;0;0;13;0;48;3;14;6;20;0;83;X;20;12;198;23;75;9;123;14;75;123;52;59;51;52;3;11;6;7;4;3;8;8;X;X;2302800
230280005000030;49;54;61;46;55;46;23;25;20;18;17;23;13;13;X;0;34;0;16;7;0;31;0;16;6;0;37;X;7;X;0;38;0;10;4;0;41;0;12;3;0;31;0;6;4;0;13;0;5;3;0;17;0;5;4;0;11;0;6;3;0;9;0;0;3;0;14;0;4;X;X;16;0;3;4;0;6;0;31;28;33;23;30;22;10;14;12;7;7;11;4;18;26;28;23;25;24;13;11;8;11;10;12;9;49;54;58;45;43;39;13;15;6;9;5;11;3;13;X;0;34;0;16;7;0;31;0;15;6;0;35;X;7;X;0;37;0;10;X;0;31;0;9;X;0;28;0;3;X;0;9;0;4;0;0;11;0;0;0;0;6;0;5;0;0;4;0;0;X;0;3;0;3;X;X;6;0;X;0;0;X;0;31;28;30;22;20;17;4;8;X;3;4;6;0;18;26;28;23;23;22;9;7;4;6;X;5;3;161;3;161;54;28;43;89;3;73;38;13;16;72;0;88;16;15;27;44;X;15;0;0;0;100;X;X;0;33;12;6;13;0;0;122;29;0;0;10;3;3;9;X;0;14;31;0;0;350;100;87;16;24;22;X;0;236;62;X;0;175;57;175;43;42;11;13;11;0;0;119;35;X;0;45;5;11;11;X;0;117;27;X;0;3;0;10;0;14;0;17;0;28;5;24;4;10;7;7;9;3;6;7;5;3;8;9;9;X;4;35;8;10;16;X;0;91;33;0;0;13;0;37;20;9;9;14;0;52;11;12;17;137;57;59;29;78;28;59;78;35;40;63;45;X;X;6;5;X;X;8;4;X;0;2302800
230280005000031;49;46;50;28;40;29;36;34;41;27;10;15;10;16;4;0;29;0;16;0;0;30;0;13;X;0;36;0;6;X;0;20;0;9;3;0;28;0;6;X;0;22;0;11;X;0;24;0;8;4;0;22;0;10;3;0;28;0;X;4;0;21;0;X;X;0;8;0;6;X;0;8;0;X;X;0;7;0;25;22;30;17;15;17;19;19;21;13;5;8;7;24;24;20;11;25;12;17;15;20;14;5;7;3;47;46;49;28;36;23;28;16;26;13;4;4;X;15;4;0;28;0;16;0;0;30;0;13;X;0;35;0;6;X;0;20;0;9;X;0;25;0;4;0;0;19;0;9;0;0;19;0;4;X;0;10;0;6;X;0;18;0;X;3;0;8;0;X;0;0;3;0;X;0;0;3;0;0;X;0;X;0;24;22;29;17;13;14;15;9;12;4;X;X;X;23;24;20;11;23;9;13;7;14;9;3;X;X;142;3;157;51;23;39;75;X;80;28;8;25;67;X;77;23;15;14;44;X;5;0;0;0;93;X;0;0;38;12;8;6;0;0;111;33;0;0;4;7;4;3;0;0;15;29;0;0;322;93;86;20;17;9;0;0;219;64;0;0;163;55;159;38;58;9;9;5;0;0;96;41;0;0;28;11;8;4;0;0;123;23;0;0;3;0;6;0;15;0;13;0;22;X;8;4;16;6;13;12;21;7;7;9;3;3;3;4;X;5;25;13;8;6;0;0;98;33;0;0;9;0;32;13;X;10;15;0;61;18;12;11;131;52;43;23;88;29;43;88;47;20;64;44;X;X;X;3;0;X;3;X;0;0;2302800
