SETOR;V00090;V00091;V00092;V00093;V00094;V00095;V00096;V00097;V00098;V00099;V00100;V00101;V00102;V00103;V00104;V00105;V00106;V00107;V00108;V00109;V00110;V00111;V00112;V00113;V00114;V00115;V00116;V00117;V00118;V00119;V00120;V00121;V00122;V00123;V00124;V00125;V00126;V00127;V00128;V00129;V00130;V00131;V00132;V00133;V00134;V00135;V00136;V00137;V00138;V00139;V00140;V00141;V00142;V00143;V00144;V00145;V00146;V00147;V00148;V00149;V00150;V00151;V00152;V00153;V00154;V00155;V00156;V00157;V00158;V00159;V00160;V00161;V00162;V00163;V00164;V00165;V00166;V00167;V00168;V00169;V00170;V00171;V00172;V00173;V00174;V00175;V00176;V00177;V00178;V00179;V00180;V00181;V00182;V00183;V00184;V00185;V00186;V00187;V00188;V00189;V00190;V00191;V00192;V00193;V00194;V00195;V00196;V00197;V00198;V00199;V00200;V00201;V00202;V00203;V00204;V00205;V00206;V00207;V00208;V00209;V00210;V00211;V00212;V00213;V00214;V00215;V00216;V00217;V00218;V00219;V00220;V00221;V00222;V00223;V00224;V00225;V00226;V00227;V00228;V00229;V00230;V00231;V00232;V00233;V00234;V00235;V00236;V00237;V00238;V00239;V00240;V00241;V00242;V00243;V00244;V00245;V00246;V00247;V00248;V00249;V00250;V00251;V00252;V00253;V00254;V00255;V00256;V00257;V00258;V00259;V00260;V00261;V00262;V00263;V00264;V00265;V00266;V00267;V00268;V00269;V00270;V00271;V00272;V00273;V00274;V00275;V00276;V00277;V00278;V00279;V00280;V00281;V00282;V00283;V00284;V00285;V00286;V00287;V00288;V00289;V00290;V00291;V00292;V00293;V00294;V00295;V00296;V00297;V00298;V00299;V00300;V00301;V00302;V00303;V00304;V00305;V00306;V00307;V00308;V00309;V00310;V00311;V00312;V00313;V00314;V00315;V00316;V00317;V00318;V00319;V00320;V00321;V00322;V00323;V00324;V00325;V00326;V00327;V00328;V00329;V00330;V00331;V00332;V00333;V00334;V00335;V00336;V00337;V00338;V00339;V00340;V00341;V00342;V00343;V00344;V00345;V00346;V00347;V00348;V00349;V00350;V00351;V00352;V00353;V00354;V00355;V00356;V00357;V00358;V00359;V00360;V00361;V00362;V00363;V00364;V00365;V00366;V00367;V00368;V00369;V00370;V00371;V00372;V00373;V00374;V00375;V00376;V00377;V00378;V00379;V00380;V00381;V00382;V00383;V00384;V00385;V00386;V00387;V00388;V00389;V00390;V00391;V00392;V00393;V00394;V00395;V00396;V00397;V00398;V00399;V00400;V00401;V00402;V00403;V00404;V00405;V00406;V00407;V00408;V00409;V00410;V00411;V00412;V00413;V00414;V00415;V00416;V00417;V00418;V00419;V00420;V00421;V00422;V00423;V00424;V00425;V00426;V00427;V00428;V00429;V00430;V00431;V00432;V00433;V00434;V00435;V00436;V00437;V00438;V00439;V00440;V00441;V00442;V00443;V00444;V00445;V00446;V00447;V00448;V00449;V00450;V00451;V00452;V00453;V00454;V00455;V00456;V00457;V00458;V00459;V00460;V00461;V00462;V00463;V00464;V00465;V00466;V00467;V00468;V00469;V00470;V00471;V00472;V00473;V00474;V00475;V00476;V00477;V00478;V00479;V00480;V00481;V00482;V00483;V00484;V00485;V00486;V00487;V00488;V00489;V00490;V00491;V00492;V00493;V00494;V00495;CD_MUN
230280005000012;69;32;0;236;0;0;0;0;0;0;3;X;0;23;0;116;221;0;0;14;14;343;13;0;0;4;X;0;4;318;11;0;0;3;X;0;4;0;0;0;0;0;0;0;0;25;X;0;0;X;0;0;0;69;33;0;241;0;X;X;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;X;0;0;0;0;0;0;X;0;0;3;0;120;223;7;6;0;0;0;0;0;4;0;X;0;0;3;X;357;0;8;330;0;7;0;0;0;27;0;X;71;34;0;252;0;0;0;0;0;0;X;0;0;7;0;128;229;0;0;X;6;298;50;6;4;X;5;X;277;44;5;4;X;5;X;0;0;0;0;0;0;0;21;6;X;0;0;0;0;58;28;0;212;0;11;5;0;34;0;X;0;0;5;0;0;X;0;3;0;0;0;0;X;0;X;0;0;3;0;0;0;0;X;0;97;201;24;26;4;X;X;3;X;0;X;3;X;0;181;60;121;X;0;0;0;X;170;54;110;X;0;0;0;X;0;0;0;0;0;0;0;0;11;6;11;0;0;0;0;0;35;22;0;124;0;15;5;0;40;0;21;7;0;93;0;X;0;0;X;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X;0;67;114;18;42;43;78;X;X;0;0;0;0;0;0;X;0;257;108;0;0;0;0;234;103;0;0;0;0;0;0;0;0;0;0;23;5;0;0;0;0;48;26;0;183;0;24;8;0;76;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;90;167;40;68;0;0;0;0;0;0;0;0;X;20;X;18;0;0;X;X;0;0;0;X;0;3;X;0;16;0;X;0;8;12;298;50;6;X;X;0;0;0;X;358;7;2302800
230280005000013;14;0;0;34;0;0;0;0;0;0;0;0;0;X;0;27;21;0;0;X;0;27;17;0;0;0;0;5;0;27;16;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;X;0;0;0;0;0;0;9;0;0;18;0;4;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X;0;0;4;0;0;0;0;0;0;12;15;14;3;0;0;0;0;0;0;0;0;X;3;0;0;47;0;X;46;0;X;0;0;0;X;0;0;13;0;0;34;0;0;0;0;0;0;X;0;0;X;0;26;21;0;0;X;0;32;13;X;X;0;X;0;31;13;X;X;0;X;0;0;0;0;0;0;0;0;X;0;0;0;0;0;0;10;0;0;22;0;3;0;0;10;0;0;0;0;X;0;X;0;0;X;0;0;0;0;0;0;0;0;0;X;0;0;0;0;0;0;17;15;8;5;X;0;X;X;0;0;X;0;0;0;0;X;44;0;3;0;0;0;0;X;43;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;X;0;0;0;0;0;0;0;0;0;0;X;0;0;X;0;12;0;0;32;0;0;0;0;0;0;X;0;0;X;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X;0;25;19;0;0;X;X;0;0;0;0;0;0;31;11;7;0;0;0;30;11;7;0;0;0;0;0;0;0;0;0;X;0;0;0;0;0;10;0;0;21;0;4;0;0;7;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;16;8;3;5;X;0;0;0;0;0;0;9;13;8;13;0;0;X;0;X;0;0;8;0;4;0;0;9;0;6;3;10;3;32;13;X;X;0;0;X;0;0;48;X;2302800
230280005000014;42;X;0;197;0;0;0;0;0;0;X;X;0;0;0;79;162;0;0;X;X;241;X;0;0;0;0;0;X;238;X;0;0;0;0;0;X;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;44;3;0;194;0;0;0;0;X;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X;0;80;161;0;X;0;0;0;0;0;0;0;0;0;0;X;X;243;0;X;240;0;X;0;0;0;3;0;0;44;3;0;196;0;0;0;0;0;0;0;0;0;X;0;80;163;0;0;X;0;190;52;X;0;0;0;0;189;50;X;0;0;0;0;0;0;0;0;0;0;0;X;X;0;0;0;0;0;33;3;0;154;0;11;0;0;41;0;0;0;0;X;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;59;131;21;31;X;X;0;0;0;0;0;0;0;0;X;0;X;241;0;0;0;0;X;0;X;238;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;X;0;0;X;0;0;0;0;0;0;0;0;0;X;0;43;3;0;195;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X;0;0;0;X;81;160;0;0;0;0;0;0;0;0;227;17;0;0;0;0;224;17;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;42;3;0;182;0;X;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;73;154;8;9;0;0;0;0;0;0;0;0;0;3;0;3;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;X;X;190;52;X;0;0;0;0;0;0;244;0;2302800
230280005000015;50;12;0;184;0;0;0;0;0;0;X;X;0;8;0;89;157;0;0;8;4;256;0;X;0;0;0;0;X;244;0;X;0;0;0;0;X;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;52;13;0;191;0;0;0;0;0;0;0;0;0;X;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X;0;0;0;97;159;0;0;0;X;0;0;0;0;0;0;0;0;0;X;253;3;X;241;3;X;0;0;0;12;0;0;51;13;0;189;0;X;0;0;X;0;0;X;0;X;0;96;157;X;X;0;X;191;53;9;0;X;4;0;185;48;8;0;X;4;0;0;0;0;0;0;0;0;6;5;X;0;0;0;0;35;12;0;144;0;14;X;0;38;0;X;0;0;7;0;0;0;0;0;0;X;0;0;0;0;0;X;0;3;0;0;0;0;0;0;66;125;25;28;5;4;0;0;0;X;X;3;0;0;X;0;10;240;0;0;6;0;X;0;9;230;0;0;5;0;0;0;0;0;0;0;0;0;0;0;X;10;0;0;X;0;0;0;0;X;0;0;0;0;0;0;3;0;0;7;0;48;14;0;178;0;0;0;0;0;0;0;0;0;0;0;X;0;0;5;0;0;0;0;0;0;X;0;0;0;3;7;91;149;0;0;0;0;X;5;0;0;221;32;5;0;0;0;211;31;4;0;0;0;0;0;0;0;0;0;10;X;X;0;0;0;48;13;0;160;0;4;0;0;28;0;0;X;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;82;139;14;18;X;4;0;0;0;0;0;0;0;X;0;X;0;0;0;0;0;0;0;0;0;0;X;0;X;0;0;0;0;X;191;53;9;0;0;0;0;0;0;253;5;2302800
230280005000017;31;18;0;106;0;0;0;0;0;0;8;X;0;20;0;63;92;0;0;8;21;39;122;0;6;0;17;0;0;32;104;0;5;0;14;0;0;0;0;0;0;0;0;0;0;7;18;0;X;0;3;0;0;8;7;0;24;0;26;11;0;85;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;5;X;0;11;0;0;0;0;0;0;0;0;0;0;0;14;25;48;74;0;0;3;3;0;0;6;11;0;0;0;0;180;0;4;151;0;4;0;0;0;29;0;0;38;18;0;124;0;0;0;0;0;0;X;X;0;X;0;69;111;0;0;X;X;147;28;3;X;X;X;X;134;16;0;0;X;X;X;0;0;0;0;0;0;0;13;12;3;X;0;0;0;29;17;0;101;0;7;X;0;20;0;X;0;0;X;0;0;0;0;X;0;0;X;0;X;0;X;0;0;X;0;X;0;0;0;0;60;87;9;19;0;3;0;X;X;X;0;X;X;0;0;174;8;0;0;0;X;X;0;147;6;0;0;0;X;X;0;0;0;0;0;0;0;0;0;27;X;0;0;0;0;0;0;0;0;0;0;34;18;0;122;0;4;X;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X;0;X;0;0;0;0;0;0;66;108;3;5;0;0;0;0;0;0;X;0;X;0;99;73;11;X;0;0;90;53;11;X;0;0;0;0;0;0;0;0;9;20;0;0;0;0;17;14;0;68;0;19;4;0;50;0;3;X;0;7;0;0;0;0;X;0;0;0;0;0;0;0;0;0;0;0;37;62;30;43;4;7;0;X;0;0;0;0;140;5;118;5;0;0;22;0;29;11;0;100;0;X;X;0;X;0;55;85;X;3;147;28;3;0;X;0;0;0;0;179;5;2302800
230280005000018;31;17;X;138;0;0;0;0;0;0;0;0;0;3;0;66;121;0;0;X;X;184;6;0;0;0;0;0;0;181;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;31;17;X;135;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;65;119;X;4;0;0;0;0;0;0;0;0;0;0;0;0;187;X;X;184;X;X;0;0;0;3;0;0;30;17;X;139;0;X;0;0;X;0;0;0;0;X;0;66;121;X;X;0;X;160;19;7;X;X;X;0;159;19;5;X;X;X;0;0;0;0;0;0;0;0;X;0;X;0;0;0;0;24;14;0;122;0;6;X;X;11;0;X;0;0;6;0;0;0;0;X;0;0;X;0;0;0;0;X;0;0;0;0;0;0;0;0;56;104;6;13;4;3;0;X;X;0;0;X;0;0;35;7;5;135;8;0;0;0;34;7;5;133;8;0;0;0;0;0;0;0;0;0;0;0;X;0;0;X;0;0;0;0;8;X;0;25;0;X;X;0;3;0;0;0;0;5;0;20;13;X;101;0;X;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;24;X;5;X;4;50;85;3;5;0;0;0;0;0;0;179;9;0;0;X;0;176;9;0;0;X;0;0;0;0;0;0;0;3;0;0;0;0;0;26;16;X;136;0;5;X;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X;0;0;0;0;0;0;65;114;0;9;0;0;0;0;X;0;0;0;X;5;X;5;0;0;0;0;0;0;0;X;0;0;0;0;5;0;X;0;X;4;160;19;7;X;0;0;0;0;0;188;X;2302800
230280005000019;44;X;0;107;X;X;0;0;4;0;6;3;0;15;0;65;89;4;X;10;14;174;8;0;0;0;X;0;0;151;3;0;0;0;0;0;0;5;0;0;0;0;0;0;0;18;5;0;0;0;X;0;0;50;4;0;119;X;0;X;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X;0;0;0;0;0;0;0;0;0;0;0;0;0;0;77;97;X;7;0;0;0;0;0;0;X;0;0;0;0;0;183;0;0;154;0;0;5;0;0;24;0;0;51;5;0;126;X;0;0;0;0;0;0;0;0;0;0;79;104;0;0;0;0;115;42;12;14;0;0;0;97;37;8;12;0;0;0;X;0;3;0;0;0;0;16;5;X;X;0;0;0;29;3;0;82;X;12;X;0;29;0;3;X;0;8;0;7;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;44;71;22;20;5;7;8;6;0;0;0;0;0;0;170;0;X;11;0;0;X;0;141;0;X;11;0;0;X;0;5;0;0;0;0;0;0;0;24;0;0;0;0;0;0;0;47;5;0;117;X;0;0;0;0;0;0;0;0;X;0;4;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X;0;0;0;0;0;0;72;98;0;0;X;0;6;5;0;0;0;0;0;X;0;0;182;0;0;0;0;X;154;0;0;0;0;0;5;0;0;0;0;0;23;0;0;0;0;X;51;4;0;126;X;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X;0;0;0;78;104;0;0;0;0;0;0;0;0;X;0;3;6;X;X;0;0;X;4;X;0;0;X;0;0;X;0;5;0;X;X;X;5;115;42;12;8;X;X;X;0;X;183;0;2302800
230280005000020;33;10;0;73;0;0;0;0;0;0;6;3;0;10;0;43;73;0;0;6;13;103;27;0;0;X;0;4;0;97;15;0;0;X;0;3;0;0;0;0;0;0;0;0;0;6;12;0;0;0;0;X;0;30;10;0;63;0;8;3;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X;0;0;0;0;0;0;X;0;0;3;0;0;0;0;0;0;41;62;8;19;0;0;0;0;0;X;0;0;0;4;0;0;133;X;0;114;X;0;0;0;0;19;0;0;39;13;0;81;0;0;0;0;X;0;0;0;0;0;0;48;85;X;X;0;0;89;38;6;X;X;0;0;75;33;6;X;X;0;0;0;0;0;0;0;0;0;14;5;0;0;0;0;0;24;9;0;56;0;14;3;0;21;0;X;X;0;4;0;0;0;0;X;0;0;0;0;X;0;0;0;0;0;0;0;0;0;0;0;36;53;7;31;4;X;X;0;X;0;0;0;0;0;65;18;29;11;X;3;8;0;53;16;28;11;X;X;5;0;0;0;0;0;0;0;0;0;12;X;X;0;0;X;3;0;23;5;0;37;0;5;X;0;11;0;7;3;0;19;0;X;X;0;7;0;0;0;0;X;0;X;0;0;X;0;X;X;0;6;0;0;0;0;0;0;21;44;8;10;14;15;3;8;X;0;X;X;X;7;0;0;130;3;0;0;X;X;113;X;0;0;X;X;0;0;0;0;0;0;17;X;0;0;0;0;39;12;0;79;0;0;X;0;X;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X;0;0;0;0;X;0;46;84;X;X;0;0;0;0;X;0;0;X;9;23;6;13;0;0;3;10;4;0;0;5;0;5;3;0;15;0;X;8;7;16;89;38;6;X;0;0;0;0;0;134;X;2302800
230280005000021;50;10;0;175;0;0;0;0;0;0;9;X;0;36;0;87;148;0;0;19;28;250;30;X;0;0;0;0;X;221;12;X;0;0;0;0;X;0;0;0;0;0;0;0;0;29;18;0;0;0;0;0;0;53;11;0;186;0;6;0;0;24;0;0;0;0;X;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X;0;0;0;95;155;10;20;0;X;0;0;0;0;0;0;0;0;X;0;281;0;X;234;0;X;0;0;0;47;0;0;59;11;0;211;0;0;0;0;0;0;0;X;0;0;0;105;176;0;0;X;0;165;103;11;X;X;0;0;141;82;9;X;X;0;0;0;0;0;0;0;0;0;24;21;X;0;0;0;0;31;4;0;130;0;24;7;0;72;0;3;0;0;8;0;X;0;0;X;0;0;X;0;0;0;0;0;0;0;0;0;0;0;0;0;60;105;38;65;5;6;X;0;X;0;0;0;0;0;145;0;12;124;0;X;0;0;124;0;6;104;0;X;0;0;0;0;0;0;0;0;0;0;21;0;6;20;0;0;0;0;30;7;0;108;0;0;0;0;0;0;4;X;0;6;0;25;3;0;96;0;0;0;0;0;0;0;0;0;X;0;0;0;0;0;0;0;0;0;0;0;57;88;0;0;4;8;44;80;0;0;X;0;0;0;0;0;275;X;X;0;X;X;228;X;X;0;X;X;0;0;0;0;0;0;47;0;0;0;0;0;57;12;0;206;0;0;0;0;X;0;0;0;0;X;0;0;0;0;0;0;X;0;0;0;0;X;0;0;X;0;105;170;0;X;X;X;0;0;0;X;0;X;X;31;X;13;0;0;0;18;0;0;0;X;0;6;X;0;24;0;0;X;11;20;165;103;11;X;0;0;0;0;0;281;X;2302800
230280005000022;40;11;0;151;0;0;0;0;0;0;7;X;0;24;0;78;124;0;0;16;17;220;14;0;0;0;0;0;X;194;7;0;0;0;0;0;X;0;0;0;0;0;0;0;0;26;7;0;0;0;0;0;0;44;12;0;164;0;3;X;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X;0;88;132;5;9;0;0;0;0;0;0;0;0;0;0;X;0;234;0;X;201;0;X;0;0;0;33;0;0;47;13;0;174;0;0;0;0;0;0;0;0;0;X;0;93;141;0;0;X;0;176;47;8;3;X;0;0;150;43;6;X;X;0;0;0;0;0;0;0;0;0;26;4;X;X;0;0;0;38;9;0;129;0;8;3;0;36;0;X;X;0;6;0;0;0;0;3;0;0;0;0;X;0;0;0;0;0;0;0;0;0;0;0;73;103;16;31;4;4;0;3;X;0;0;0;0;0;211;X;22;0;0;0;X;0;184;X;16;0;0;0;X;0;0;0;0;0;0;0;0;0;27;0;6;0;0;0;0;0;42;12;0;157;0;X;0;0;0;0;4;X;0;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X;0;0;0;0;0;0;79;132;X;0;13;9;0;0;0;0;0;0;X;0;0;0;221;14;0;0;0;0;191;11;0;0;0;0;0;0;0;0;0;0;30;3;0;0;0;0;43;12;0;166;0;4;X;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;87;134;7;7;0;0;0;0;0;0;0;0;9;6;6;X;0;0;3;4;3;X;0;5;0;0;0;0;6;0;3;6;3;3;176;47;8;X;0;0;0;X;0;234;X;2302800
230280005000025;63;17;0;146;0;5;X;0;4;0;5;6;0;20;0;116;110;6;4;16;15;219;48;0;0;0;0;0;0;197;29;0;0;0;0;0;0;4;6;0;0;0;0;0;0;18;13;0;0;0;0;0;0;62;18;0;139;0;11;6;0;31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;111;108;27;21;0;0;0;0;0;0;0;0;0;0;0;0;264;X;X;223;X;X;10;0;0;31;0;0;73;23;0;168;0;0;0;0;X;0;0;X;0;0;0;136;128;X;X;X;0;89;144;22;12;0;0;0;73;120;21;12;0;0;0;3;7;0;0;0;0;0;13;17;X;0;0;0;0;18;11;0;60;0;40;11;0;93;0;11;X;0;9;0;4;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;43;46;75;69;14;8;6;6;0;0;0;0;0;0;136;5;120;5;0;0;X;0;107;5;109;4;0;0;X;0;9;0;X;0;0;0;0;0;20;0;10;X;0;0;0;0;39;11;0;86;0;X;X;0;X;0;30;12;0;78;0;X;0;0;4;0;0;0;0;0;0;0;0;0;0;0;X;0;0;0;0;0;0;0;0;0;70;66;3;X;62;58;X;3;0;0;0;0;X;0;0;0;261;6;0;0;0;0;224;X;0;0;0;0;10;0;0;0;0;0;27;4;0;0;0;0;70;24;0;167;0;3;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;135;126;3;3;0;0;0;0;0;0;0;0;35;13;19;10;6;0;10;3;8;5;0;22;0;3;X;0;9;0;18;17;9;4;89;144;22;5;5;X;0;0;0;267;0;2302800
230280005000026;65;17;0;176;0;0;0;0;0;0;X;0;0;11;0;113;145;0;0;6;6;240;28;0;0;0;0;0;X;229;27;0;0;0;0;0;X;0;0;0;0;0;0;0;0;11;X;0;0;0;0;0;0;58;17;0;165;0;8;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X;0;103;137;15;13;0;0;0;0;0;0;0;0;0;0;X;X;268;0;X;256;0;X;0;0;0;12;0;0;66;17;0;185;0;0;0;0;0;0;0;0;0;X;0;118;150;0;0;X;X;133;105;25;6;X;0;0;126;101;24;6;X;0;0;0;0;0;0;0;0;0;7;4;X;0;0;0;0;33;7;0;93;0;27;9;0;69;0;3;0;0;22;0;3;X;0;X;0;0;0;0;X;0;0;0;0;0;0;0;0;0;0;0;48;85;55;50;14;11;X;5;X;0;0;0;0;0;51;4;40;173;0;0;X;0;49;4;35;168;0;0;X;0;0;0;0;0;0;0;0;0;X;0;5;5;0;0;0;0;10;3;0;38;0;X;X;0;X;0;4;4;0;32;0;50;9;0;114;0;0;0;0;0;0;0;0;0;0;0;X;0;0;X;0;0;0;0;0;0;17;34;X;3;12;28;89;84;0;0;0;0;0;X;0;0;120;150;0;0;0;0;114;144;0;0;0;0;0;0;0;0;0;0;6;6;0;0;0;0;19;12;0;89;0;47;5;0;98;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;46;74;73;77;0;0;0;0;0;0;0;0;5;25;5;24;0;0;0;X;X;0;0;3;0;6;0;0;19;0;X;3;14;11;133;105;25;4;0;X;0;0;0;269;X;2302800
230280005000027;26;9;0;176;0;0;0;0;4;0;0;0;0;0;0;74;137;X;X;0;0;165;33;X;0;X;3;X;15;160;28;X;0;X;3;X;15;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;5;0;140;0;4;3;0;26;0;0;0;0;X;0;0;0;0;0;0;0;0;0;X;0;0;0;0;3;0;X;0;0;0;0;X;X;0;12;0;62;103;11;22;X;0;0;0;0;X;0;3;0;X;4;11;207;7;7;200;4;7;X;3;0;0;0;0;27;9;0;171;0;0;0;0;7;0;X;0;0;6;0;74;133;3;4;X;6;165;37;13;6;0;0;0;158;35;12;6;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;19;9;0;137;0;5;0;0;32;0;X;0;0;11;0;X;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;55;110;16;21;5;8;X;4;0;0;0;0;0;0;3;0;11;190;X;4;11;0;3;0;10;181;X;4;11;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;X;X;0;9;0;23;7;0;160;0;0;X;0;X;0;X;0;0;3;0;3;0;0;8;0;0;0;0;0;0;3;0;0;0;4;7;64;126;0;X;X;X;5;6;0;0;180;13;27;0;X;0;170;13;27;0;X;0;4;0;0;0;0;0;0;0;0;0;0;0;23;8;0;149;0;X;0;0;11;0;X;X;0;24;0;0;0;0;0;0;X;0;0;0;0;0;0;0;0;0;61;119;9;4;8;19;0;0;0;X;0;0;15;41;15;36;0;4;0;0;X;X;0;12;0;6;3;0;32;0;5;10;11;30;165;37;13;4;X;X;0;0;0;221;0;2302800
230280005000028;21;X;0;42;0;0;0;0;0;0;8;0;0;15;0;34;31;0;0;7;16;84;4;0;0;0;0;0;0;63;X;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;X;0;0;0;0;0;0;28;X;0;54;0;X;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;38;46;3;X;0;0;0;0;0;0;0;0;0;0;0;0;88;0;0;65;0;0;0;0;0;23;0;0;29;X;0;57;0;0;0;0;0;0;0;0;0;0;0;41;47;0;0;0;0;37;38;8;4;0;X;0;27;25;8;4;0;X;0;0;0;0;0;0;0;0;10;13;0;0;0;0;0;9;X;0;27;0;14;X;0;23;0;3;0;0;5;0;X;0;0;X;0;0;0;0;0;0;X;0;0;0;0;0;0;0;0;0;17;20;17;21;3;5;3;X;0;0;X;0;0;0;86;0;0;X;0;0;0;0;63;0;0;X;0;0;0;0;0;0;0;0;0;0;0;0;23;0;0;0;0;0;0;0;29;X;0;55;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;39;47;0;0;0;0;X;0;0;0;0;0;0;0;0;0;85;3;0;0;0;0;63;X;0;0;0;0;0;0;0;0;0;0;22;X;0;0;0;0;28;X;0;55;0;X;0;0;X;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41;44;0;3;0;0;0;0;0;0;0;0;0;4;0;X;0;0;0;X;0;0;0;0;0;X;0;0;3;0;0;0;3;X;37;38;8;3;X;0;0;0;0;87;X;2302800
230280005000029;47;17;X;148;0;0;0;0;0;0;X;0;0;6;0;83;130;0;0;X;7;218;X;0;0;0;0;X;0;210;X;0;0;0;0;X;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;47;17;X;153;0;X;0;0;X;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X;0;0;0;0;0;0;0;0;0;84;134;0;X;0;0;0;0;0;0;0;0;0;X;0;0;221;0;0;213;0;0;0;0;0;8;0;0;49;17;X;154;0;0;0;0;0;0;0;0;0;0;0;84;137;0;0;0;0;137;75;7;X;0;0;0;132;72;7;X;0;0;0;0;0;0;0;0;0;0;5;3;0;0;0;0;0;29;12;0;96;0;16;4;X;54;0;3;X;0;3;0;X;0;0;X;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49;88;32;43;X;5;X;X;0;0;0;0;0;0;4;0;3;211;0;X;X;0;3;0;3;205;0;X;X;0;0;0;0;0;0;0;0;0;X;0;0;6;0;X;0;0;X;X;0;X;0;0;0;0;0;0;X;0;0;X;0;45;16;X;149;0;0;0;0;0;0;X;0;0;X;0;0;0;0;X;0;0;0;0;0;0;X;3;0;0;X;X;81;130;0;0;X;X;0;X;0;0;143;76;0;0;X;0;139;72;0;0;X;0;0;0;0;0;0;0;4;4;0;0;0;0;32;12;0;99;0;17;5;X;53;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X;0;0;0;0;0;0;55;88;28;48;0;0;0;0;X;X;0;0;X;X;X;X;0;0;0;0;X;0;0;X;0;X;0;0;0;0;0;X;0;X;137;75;7;X;X;0;0;0;0;221;0;2302800
